Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
0;14.92392369;0.117148478;0.313652;22.92681666;0.650689054;-0.09181166;50;0.1;0.1;1;0.00627304;0.298478474
1;14.63524604;0.402937757;8.4529295;19.24085725;0.760158503;0.09884821;50;0.1;0.1;1;0.16905859;0.292704921
2;14.36210495;0.966416805;0.33968;22.96406157;0.625814841;-0.106359865;50;0.1;0.1;1;0.0067936;0.287242099
3;12.95113037;2.015319543;0.621238;22.77250309;0.567678281;0.049819031;50;0.1;0.1;1;0.01242476;0.259022607
4;14.77145688;4.00071768;0.3862865;22.77716741;0.648585744;-0.021780005;50;0.1;0.1;1;0.00772573;0.295429138
5;10.79837222;0.540859638;0.759848;22.68500948;0.476655328;0.102824803;50;0.1;0.1;1;0.01519696;0.215967444
6;13.52960254;2.849614436;0.360208;22.88506403;0.590967732;-0.04114217;50;0.1;0.1;1;0.00720416;0.270592051
7;14.77528961;3.538275081;0.101208;22.96585411;0.643666186;-0.04066206;50;0.1;0.1;1;0.00202416;0.295505792
8;12.51473827;1.944512342;0.337736;22.80894259;0.547509886;-0.112748791;50;0.1;0.1;1;0.00675472;0.250294765
9;14.66722749;1.801316647;0.189001;22.95784963;0.639276858;0.009781491;50;0.1;0.1;1;0.00378002;0.29334455
10;13.82746981;0.225539885;0.978758;22.49938571;0.614670837;0.092111363;50;0.1;0.1;1;0.01957516;0.276549396
11;14.50059077;1.064326671;0.2296095;22.87161521;0.634522349;0.038138136;50;0.1;0.1;1;0.00459219;0.290011815
12;13.47522014;0.995471917;0.7641465;22.74481529;0.59312106;-0.063406478;50;0.1;0.1;1;0.01528293;0.269504403
13;14.72509392;0.43449042;8.1822305;19.28316832;0.764045933;-0.023533709;50;0.1;0.1;1;0.16364461;0.294501878
14;13.91650932;2.731627243;1.4613715;22.39261747;0.620684868;-0.011838082;50;0.1;0.1;1;0.02922743;0.278330186
15;14.77309163;1.990430835;0.0553075;23.01580325;0.641321445;-0.013655905;50;0.1;0.1;1;0.00110615;0.295461833
16;14.57526921;0.363238908;7.7264035;19.4604283;0.748753144;0.053246448;50;0.1;0.1;1;0.15452807;0.291505384
17;13.86433687;2.344924217;0.217056;23.01453741;0.601495857;-0.02550861;50;0.1;0.1;1;0.00434112;0.277286737
18;14.65544505;0.515086905;0.199769;22.94120481;0.638858684;0.059091462;50;0.1;0.1;1;0.00399538;0.293108901
19;13.66543206;0.09243853;0.2964355;22.95004953;0.596867099;0.120972783;50;0.1;0.1;1;0.00592871;0.273308641
0;14.79683106;0.296216954;8.798989;18.88550229;0.783485819;0.021400799;50;0.1;0.25;1;0.17597978;0.295936621
1;14.97688469;0.435566188;9.4312195;18.72727906;0.799012716;0.05073433;50;0.1;0.25;1;0.18862439;0.299537694
2;14.52194405;0.342379015;8.859283;18.90468764;0.768453674;-0.036159865;50;0.1;0.25;1;0.17718566;0.290438881
3;14.41837336;0.337906086;8.8456555;18.94631682;0.761047671;0.056919031;50;0.1;0.25;1;0.17691311;0.288367467
4;14.80367803;0.444371514;8.885907;18.99302572;0.77970168;-0.009330005;50;0.1;0.25;1;0.17771814;0.296073561
5;14.74892307;0.306841935;9.621178;18.63077939;0.792273731;0.010277725;50;0.1;0.25;1;0.19242356;0.294978461
6;14.57273272;0.429255291;9.3672505;18.6920236;0.779942585;-0.020096102;50;0.1;0.25;1;0.18734501;0.291454654
7;15.06402889;0.592685123;7.652336;19.61952419;0.767460966;0.01508794;50;0.1;0.25;1;0.15304672;0.301280578
8;14.51133366;0.325246882;9.47371;18.63972183;0.778243881;-0.026547317;50;0.1;0.25;1;0.1894742;0.290226673
9;14.67805896;0.383136082;8.797936;18.90349797;0.776393138;0.004531491;50;0.1;0.25;1;0.17595872;0.293561179
10;15.00826693;0.32784659;8.9990245;18.92175361;0.79268672;0.038458142;50;0.1;0.25;1;0.17998049;0.300165339
11;14.06012198;0.349253828;9.6064385;18.62775554;0.754741956;0.005793038;50;0.1;0.25;1;0.19212877;0.28120244
12;14.58908646;0.337427978;9.242152;18.78034107;0.777055941;0.03214241;50;0.1;0.25;1;0.18484304;0.291781729
13;14.65032233;0.404221764;9.3749785;18.71447675;0.782695926;0.037310644;50;0.1;0.25;1;0.18749957;0.293006447
14;14.83812111;0.495869574;9.0251465;18.81625216;0.789239441;0.002661918;50;0.1;0.25;1;0.18050293;0.296762422
