Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
0;339.7487613;0.666302607;5;379.1438018;0.896043064;-0.045391589;500;0.25;0.1;1;0.01;0.679497523
1;295.0225441;0.547973992;5;379.5584375;0.777231089;-0.063211739;500;0.25;0.1;1;0.01;0.590045088
2;339.0902288;0.658502775;5;379.4788988;0.893560535;0.067191969;500;0.25;0.1;1;0.01;0.678180458
3;335.0706858;0.680253927;5;379.1962662;0.883608637;0.021044381;500;0.25;0.1;1;0.01;0.670141372
4;335.9877202;0.583696596;5;379.1827767;0.886065232;0.105787528;500;0.25;0.1;1;0.01;0.67197544
5;333.7734041;0.528096411;5;379.2850717;0.879989171;0.00090421;500;0.25;0.1;1;0.01;0.667546808
6;337.1836785;0.614009806;5;378.9992107;0.889677417;0.006564984;500;0.25;0.1;1;0.01;0.674367357
7;278.9810153;0.520260014;5;379.3743386;0.735466695;-0.104597674;500;0.25;0.1;1;0.01;0.557962031
8;331.383211;0.643806526;5;379.2728598;0.87368843;0.06365369;500;0.25;0.1;1;0.01;0.662766422
9;328.348408;0.566912025;5;379.212313;0.865870253;-0.011398058;500;0.25;0.1;1;0.01;0.656696816
10;323.6714513;0.516388355;5;379.2471994;0.853439514;-0.037350505;500;0.25;0.1;1;0.01;0.647342903
11;338.555812;0.651860845;5;379.3551533;0.8924148;0.064902279;500;0.25;0.1;1;0.01;0.677111624
12;338.0796074;0.515423124;5;379.2278107;0.891551227;0.028851748;500;0.25;0.1;1;0.01;0.676159215
13;317.3665553;0.487095319;5;379.0825685;0.837172957;0.02399799;500;0.25;0.1;1;0.01;0.634733111
14;310.8680113;0.310602112;5;379.446785;0.819177583;0.0532087;500;0.25;0.1;1;0.01;0.621736023
15;331.8590175;0.650459551;5;379.1483763;0.875236173;-0.001675388;500;0.25;0.1;1;0.01;0.663718035
16;337.5777273;0.539216615;5;379.3251688;0.889945615;-0.004026371;500;0.25;0.1;1;0.01;0.675155455
17;301.5728626;0.669717446;5;379.3657386;0.794950574;-0.0317509;500;0.25;0.1;1;0.01;0.603145725
18;328.6125427;1.761653846;5;379.3297845;0.866320482;-0.030064004;500;0.25;0.1;1;0.01;0.657225085
19;337.1472062;0.607515506;5;379.276476;0.889005657;0.047985687;500;0.25;0.1;1;0.01;0.674294412
0;336.5903355;0.677499098;5;379.3868965;0.8871797;-0.036293055;500;0.25;0.25;1;0.01;0.673180671
1;335.1260685;0.509814524;5;379.4062589;0.883315811;0.012488261;500;0.25;0.25;1;0.01;0.670252137
2;335.1372704;0.464704193;5;379.2990944;0.883539076;-0.04236264;500;0.25;0.25;1;0.01;0.670274541
3;335.4370034;0.54754338;5;379.2435483;0.884562678;0.008294381;500;0.25;0.25;1;0.01;0.670874007
4;334.431984;0.567444149;5;379.3038229;0.881693322;-0.01276716;500;0.25;0.25;1;0.01;0.668863968
5;334.228102;0.578691249;5;379.1873235;0.88140397;0.039916492;500;0.25;0.25;1;0.01;0.668456204
6;334.1348918;0.611126658;5;379.1635658;0.881205539;0.023114984;500;0.25;0.25;1;0.01;0.668269784
7;341.180575;0.671142356;5;379.3085523;0.899444933;-0.016198138;500;0.25;0.25;1;0.01;0.68236115
8;314.3647393;0.475721034;5;379.3209404;0.828693987;0.011496811;500;0.25;0.25;1;0.01;0.628729479
9;331.9491751;0.603406482;5;379.2162184;0.875373824;-0.008648058;500;0.25;0.25;1;0.01;0.66389835
10;334.3799209;0.622947368;5;379.2238667;0.88178598;0.012106136;500;0.25;0.25;1;0.01;0.668759842
11;335.0183743;0.59838629;5;379.3458409;0.883130554;-0.017497721;500;0.25;0.25;1;0.01;0.670036749
12;331.2230656;0.652099128;5;379.2892258;0.873294;0.040898765;500;0.25;0.25;1;0.01;0.662446131
13;331.5347664;0.652178387;5;379.2838141;0.874084752;-0.02305201;500;0.25;0.25;1;0.01;0.663069533
14;334.8471105;0.628164122;5;379.3278667;0.882764753;-0.035183458;500;0.25;0.25;1;0.01;0.669694221
15;332.5369488;0.633940848;5;379.5381361;0.876145067;-0.017575388;500;0.25;0.25;1;0.01;0.665073898
16;333.0322159;0.480525146;5;379.3304932;0.877939502;0.00763967;500;0.25;0.25;1;0.01;0.666064432
17;333.5292774;0.588633746;5;379.2487794;0.87941853;-0.030351785;500;0.25;0.25;1;0.01;0.667058555
18;333.8373011;0.650857818;5;379.240595;0.880252726;-0.003620701;500;0.25;0.25;1;0.01;0.667674602
19;337.146166;0.642999858;5;379.2453934;0.88906013;0.03004216;500;0.25;0.25;1;0.01;0.674292332
0;337.3335077;0.708142076;5;379.1468734;0.889689144;-0.006187601;500;0.25;0.4;1;0.01;0.674667015
1;333.6989283;0.690896801;5;379.1673001;0.880084848;0.038189168;500;0.25;0.4;1;0.01;0.667397857
2;329.8328306;0.293320288;5;379.3499272;0.869448241;0.00808736;500;0.25;0.4;1;0.01;0.659665661
3;331.5559412;0.688352071;5;379.2988775;0.874153673;-0.031455619;500;0.25;0.4;1;0.01;0.663111882
4;332.5217791;0.664532736;5;379.2601318;0.8767499;0.01068284;500;0.25;0.4;1;0.01;0.665043558
5;295.1687441;0.605929387;5;379.3119853;0.778200367;-0.019077295;500;0.25;0.4;1;0.01;0.590337488
6;336.0894258;0.576606002;5;379.1027183;0.886527041;0.008664575;500;0.25;0.4;1;0.01;0.672178852
7;339.9314455;0.650399889;5;379.3795712;0.896010889;-0.010796282;500;0.25;0.4;1;0.01;0.679862891
8;335.642565;0.734660912;5;379.3367402;0.884781029;-0.019653189;500;0.25;0.4;1;0.01;0.67128513
